Time,Discharge(m3/s)
10/26/2014,"	2.5"
10/27/2014,"	2.3"
10/28/2014,"	2.21"
10/29/2014,"	2.16"
10/30/2014,"	2.12"
10/31/2014,"	2.05"
11/1/2014,"	2.06"
11/2/2014,"	2.26"
11/3/2014,"	2.4"
11/4/2014,"	90.6"
11/5/2014,"	95.5"
11/6/2014,"	28.5"
11/7/2014,"	18.5"
11/8/2014,"	14.6"
11/9/2014,"	14.7"
11/10/2014,"	37.8"
11/11/2014,"	50.4"
11/12/2014,"	42.7"
11/13/2014,"	29.1"
11/14/2014,"	23.3"
11/15/2014,"	60.7"
11/16/2014,"	38.3"
11/17/2014,"	26.1"
11/18/2014,"	21.4"
11/19/2014,"	18.7"
11/20/2014,"	16.8"
11/21/2014,"	14.9"
11/22/2014,"	13.9"
11/23/2014,"	13.3"
11/24/2014,"	12.3"
11/25/2014,"	12"
11/26/2014,"	17.4"
11/27/2014,"	23"
11/28/2014,"	24.8"
11/29/2014,"	23.2"
11/30/2014,"	21.1"
12/1/2014,"	28.4"
12/2/2014,"	23.2"
12/3/2014,"	20"
12/4/2014,"	18.2"
12/5/2014,"	16.2"
12/6/2014,"	15"
12/7/2014,"	14.2"
12/8/2014,"	13.1"
12/9/2014,"	12.6"
12/10/2014,"	12"
12/11/2014,"	11.4"
12/12/2014,"	11.3"
12/13/2014,"	10.8"
12/14/2014,"	-1E-030"
12/15/2014,"	-1E-030"
12/16/2014,"	-1E-030"
12/17/2014,"	9.6"
12/18/2014,"	9.74"
12/19/2014,"	8.98"
12/20/2014,"	8.63"
12/21/2014,"	8.34"
12/22/2014,"	8.07"
12/23/2014,"	7.86"
12/24/2014,"	7.7"
12/25/2014,"	7.54"
12/26/2014,"	7.39"
12/27/2014,"	7.25"
12/28/2014,"	6.95"
12/29/2014,"	7.82"
12/30/2014,"	8.38"
12/31/2014,"	8.54"
